employee_id,job_title,experience_level,education_level,employment_type,location,company_size,salary,primary_skill,department,performance_rating,age
1,DevOps Engineer,Senior,Master's,Full-time,Seattle,Medium,>=125000,C++,HR,2,43
2,Software Engineer,Mid,PhD,Full-time,Los Angeles,Large,>=75000,Machine Learning,Operations,1,32
3,Software Engineer,Entry,PhD,Full-time,New York,Medium,>=50000,Machine Learning,R&D,1,38
4,Software Engineer,Entry,PhD,Contract,Los Angeles,Medium,>=50000,Data Visualization,HR,3,23
5,Data Analyst,Senior,Master's,Contract,New York,Large,>=125000,Machine Learning,HR,3,32
6,Data Analyst,Mid,Master's,Part-time,Austin,Small,>=100000,Cloud,HR,3,54
7,Web Developer,Entry,Bachelor's,Contract,New York,Small,>=75000,Project Management,IT,3,58
8,AI Researcher,Entry,Diploma,Part-time,New York,Medium,>=50000,C++,IT,2,51
9,Data Engineer,Mid,Diploma,Contract,New York,Small,>=75000,Python,R&D,1,46
10,AI Researcher,Entry,Bachelor's,Part-time,Seattle,Small,>=50000,Java,Operations,5,42
11,System Admin,Mid,PhD,Contract,Boston,Small,>=75000,Machine Learning,HR,1,40
12,DevOps Engineer,Entry,Diploma,Contract,Remote,Large,>=50000,Machine Learning,Operations,1,54
13,Software Engineer,Senior,Diploma,Full-time,Remote,Small,>=125000,Data Visualization,Product,4,48
14,Data Scientist,Mid,Diploma,Contract,San Jose,Small,>=75000,Cloud,Operations,5,36
15,AI Researcher,Senior,Bachelor's,Full-time,San Francisco,Large,>=150000,Project Management,HR,3,45
16,Product Manager,Entry,Bachelor's,Part-time,Chicago,Medium,>=75000,Java,IT,5,42
17,Data Engineer,Senior,Master's,Part-time,New York,Medium,>=150000,Data Visualization,Product,3,42
18,ML Engineer,Mid,PhD,Contract,New York,Medium,>=100000,Python,Operations,1,53
19,Product Manager,Mid,Diploma,Full-time,San Jose,Large,>=125000,SQL,R&D,1,58
20,Data Analyst,Mid,PhD,Part-time,San Jose,Medium,>=75000,Java,R&D,3,57
21,Data Engineer,Senior,PhD,Full-time,Chicago,Large,>=125000,Deep Learning,Operations,4,38
22,Web Developer,Mid,Diploma,Part-time,Chicago,Medium,>=125000,Python,Analytics,3,46
23,Software Engineer,Senior,Bachelor's,Part-time,San Francisco,Large,>=150000,Project Management,HR,1,30
24,System Admin,Senior,Master's,Part-time,Los Angeles,Small,>=150000,C++,Analytics,4,52
25,AI Researcher,Entry,Bachelor's,Contract,Seattle,Small,>=75000,Project Management,Analytics,3,46
26,AI Researcher,Entry,Bachelor's,Contract,San Jose,Large,>=75000,Project Management,HR,4,41
27,AI Researcher,Senior,Master's,Part-time,Remote,Small,>=125000,Python,Operations,3,35
28,Software Engineer,Entry,PhD,Full-time,Boston,Small,>=50000,Project Management,Operations,3,59
29,System Admin,Entry,Diploma,Full-time,Austin,Large,>=50000,Java,Product,2,26
30,AI Researcher,Senior,Master's,Part-time,Chicago,Large,>=150000,Machine Learning,Analytics,2,25
31,Data Scientist,Entry,PhD,Contract,Austin,Medium,>=50000,SQL,Analytics,1,47
32,AI Researcher,Senior,PhD,Part-time,Remote,Small,>=125000,Python,IT,5,55
33,Data Scientist,Mid,Bachelor's,Part-time,San Jose,Medium,>=100000,DevOps,Product,5,53
34,Web Developer,Entry,Bachelor's,Full-time,Seattle,Large,>=50000,Python,IT,2,60
35,System Admin,Entry,Master's,Full-time,Seattle,Small,>=50000,Cloud,Analytics,2,42
36,Data Scientist,Senior,Bachelor's,Contract,Chicago,Small,>=150000,SQL,IT,3,51
37,Data Engineer,Mid,Diploma,Part-time,San Francisco,Medium,>=100000,Python,Analytics,2,23
38,Software Engineer,Entry,PhD,Contract,Chicago,Medium,>=50000,Project Management,R&D,2,30
39,DevOps Engineer,Senior,Master's,Contract,Seattle,Large,>=150000,Java,Analytics,3,23
40,AI Researcher,Mid,PhD,Part-time,Seattle,Large,>=75000,Project Management,Product,5,28
41,Data Engineer,Entry,Bachelor's,Contract,Boston,Medium,>=50000,Python,Analytics,5,34
42,AI Researcher,Senior,Master's,Full-time,San Francisco,Medium,>=175000,C++,HR,1,49
43,Data Analyst,Senior,Master's,Part-time,Remote,Large,>=150000,Python,IT,4,56
44,Data Engineer,Senior,Bachelor's,Contract,Chicago,Small,>=150000,Data Visualization,Analytics,4,53
45,Data Engineer,Senior,Diploma,Contract,San Francisco,Medium,>=125000,Deep Learning,HR,4,40
46,Data Analyst,Senior,Diploma,Full-time,Seattle,Large,>=150000,Project Management,Operations,2,49
47,Software Engineer,Entry,Bachelor's,Part-time,Remote,Small,>=50000,Python,Operations,1,56
48,System Admin,Mid,Master's,Part-time,New York,Medium,>=100000,Machine Learning,Operations,1,49
49,Data Scientist,Senior,Diploma,Part-time,Los Angeles,Large,>=125000,Java,R&D,4,34
50,Data Engineer,Senior,Diploma,Part-time,New York,Small,>=125000,Cloud,HR,2,44
51,Data Engineer,Entry,PhD,Contract,Boston,Large,>=50000,DevOps,Analytics,5,48
52,Web Developer,Entry,Master's,Contract,Chicago,Medium,>=50000,SQL,Analytics,3,60
53,Web Developer,Entry,Diploma,Contract,Los Angeles,Large,>=50000,Python,Operations,2,51
54,ML Engineer,Senior,Diploma,Part-time,San Jose,Medium,>=150000,Machine Learning,HR,5,60
55,DevOps Engineer,Senior,Master's,Full-time,New York,Small,>=125000,Python,Operations,2,39
56,Data Engineer,Mid,Diploma,Full-time,Austin,Medium,>=100000,Python,Operations,2,34
57,DevOps Engineer,Mid,Master's,Contract,Seattle,Small,>=100000,Java,IT,1,60
58,AI Researcher,Entry,Master's,Full-time,Austin,Small,>=50000,Java,Operations,3,37
59,Product Manager,Mid,Bachelor's,Contract,Chicago,Large,>=100000,Data Visualization,R&D,5,60
60,Software Engineer,Mid,Diploma,Contract,Seattle,Small,>=100000,SQL,Product,1,49
61,DevOps Engineer,Senior,Master's,Contract,Seattle,Medium,>=125000,SQL,Product,2,51
62,AI Researcher,Entry,Diploma,Contract,Los Angeles,Medium,>=50000,Java,IT,5,27
63,DevOps Engineer,Senior,Master's,Contract,Boston,Medium,>=125000,Cloud,Product,1,35
64,AI Researcher,Senior,Master's,Part-time,Seattle,Large,>=175000,Deep Learning,HR,2,34
65,ML Engineer,Mid,Bachelor's,Part-time,Boston,Medium,>=75000,SQL,R&D,4,31
66,AI Researcher,Mid,Diploma,Part-time,Boston,Large,>=75000,SQL,Analytics,1,29
